Num,Title,Comment,Recommend,Link
104,小森林 夏秋篇,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
105,大鱼,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
106,请以你的名字呼唤我,8.8,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
107,一一,9.0,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
108,爱在黎明破晓前,8.8,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
109,阳光姐妹淘,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
110,射雕英雄传之东成西就,8.7,百看不厌。 ,https://movie.douban.com/subject/1316510/
111,海蒂和爷爷,9.1,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
112,侧耳倾听,8.9,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
113,甜蜜蜜,8.8,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
114,红辣椒,9.0,梦的勾结。,https://movie.douban.com/subject/1865703/
115,杀人回忆,8.8,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
116,驯龙高手,8.7,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
117,倩女幽魂,8.7,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
118,7号房的礼物,8.8,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
119,超脱,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
120,小森林 冬春篇,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
121,哈利·波特与死亡圣器(下),8.7,10年的完美句点。,https://movie.douban.com/subject/3011235/
122,恐怖直播,8.8,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
123,菊次郎的夏天,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
124,爱在日落黄昏时,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
125,风之谷,8.8,动画片的圣经。,https://movie.douban.com/subject/1291585/
126,蝙蝠侠：黑暗骑士崛起,8.7,诺兰就是保证。,https://movie.douban.com/subject/3395373/
127,幸福终点站,8.7,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
128,萤火之森,8.8,触不到的恋人。,https://movie.douban.com/subject/5989818/
129,唐伯虎点秋香,8.6,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
130,借东西的小人阿莉埃蒂,8.8,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
131,超能陆战队,8.6,Balalala~~~,https://movie.douban.com/subject/11026735/
132,上帝之城,8.9,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
133,神偷奶爸,8.6,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
134,无人知晓,9.1,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
135,怪兽电力公司,8.7,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
